host1	52.22.195.217
host2	79.134.90.230
host3	72.209.115.185
host4	192.168.100.110
host5	192.168.1.10
host6	192.168.1.11
host7	192.168.1.12
host8	192.168.1.13
host9	192.168.1.1
host10	192.168.0.1
google.com	142.250.193.78
google.co.in	172.217.167.227
gmail.com	142.250.194.101
youtube.com	142.250.195.14
yahoo.com	74.6.231.20
ymail.com	98.136.103.23
bing.com	204.79.197.200
hotmail.com	204.79.197.212
github.com	20.207.73.82
python.org	138.197.63.241
amazon.com	205.251.242.103
alibaba.com	47.246.137.166
flipkart.com	163.53.78.110
kali.org	50.116.58.136
